parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,fold_reproducibility,evidence_label,reason
THIN_ET_Rc_OG142,TOPSIN_ET_I_5,A_high_x_high,2.0524,2.0127,1.938,0.1556,0.1838,0.0283,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0283."
ANODE_ET_Probe_Number,SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,A_high_x_high,2.2072,2.1702,1.675,0.0411,0.0694,0.0283,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0283 -- majority but not unanimous.
TOPSIN_ET_KLV_F_AB_4u,THIN_ET_sh_f_hr_23,A_high_x_high,2.1949,2.1595,1.613,0.0534,0.0817,0.0283,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0283."
TOPSIN_ET_CapUSV_0,TOPSIN_ET_DC_RF_Idss,A_high_x_high,2.2383,2.203,1.576,0.0181,0.0464,0.0283,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0283."
MEASURE_ET_DC_RF_Vt_gs,MEASURE_ET_DC_RF_CF_S22_Ph_L1018,B_high_x_special_evidence,2.2182,2.1794,1.749,0.0263,0.0546,0.0283,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0283."
THIN_ET_Rcat_cn_3,ANODE_ET_Ran_con_1,A_high_x_high,2.1603,2.1238,1.688,0.0778,0.106,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_Load_Pull_Pout_W_mm_last,ANODE_ET_Rc_an_ct2,A_high_x_high,2.1377,2.0993,1.798,0.0978,0.126,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
FIC_ET_Gm_max,BRGM_ET_Rsh_F_AB_2,A_high_x_high,2.2238,2.194,1.337,0.0181,0.0463,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_lkg_CapFICM1,BRGM_ET_lkg_SY8_80,A_high_x_high,2.0498,2.0114,1.877,0.1638,0.192,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
BRIDGE_METAL_Height_Final_TOP_metal_thickness,THIN_ET_Rsh_cat_c2,A_high_x_high,2.2372,2.2019,1.578,0.0101,0.0383,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
SIN_ET_DC_RF_Vp_1,CATHODE_ET_Rsh_cat_c2,A_high_x_high,2.2155,2.1802,1.593,0.0331,0.0613,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
TOPSIN_ET_R_f_hr_3,FIC_ET_DC_RF_Vbgs_0p1,A_high_x_high,2.185,2.1512,1.545,0.0605,0.0887,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
FIC_ET_G_per_25,MEASURE_ET_lkg_USV_Cap,A_high_x_high,2.0603,2.0266,1.635,0.1606,0.1888,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_Cap2pf_0,FIC_ET_HIRS,A_high_x_high,2.2149,2.1757,1.77,0.0321,0.0604,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
TOPSIN_ET_lkg_CapPARCAP,FIC_ET_Probe_Number,A_high_x_high,2.0474,2.0098,1.841,0.1662,0.1944,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
TOPSIN_ET_DC_PIV_Drain_Lag_1,FIC_ET_R_f_tn_1,A_high_x_high,2.058,2.0236,1.671,0.1632,0.1914,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
FIC_ET_R_f_tn_1,TOPSIN_ET_Rc_OG144,A_high_x_high,2.1861,2.1482,1.733,0.0543,0.0825,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
FIC_ET_Rc_f_tn_23,MEASURE_ET_RF_Modeling_Fmax,A_high_x_high,2.2237,2.19,1.513,0.0256,0.0539,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
TOPSIN_ET_DC_SMALL_Vbgd1,MEASURE_ET_C100USV_Cappf,A_high_x_high,2.1603,2.1251,1.629,0.0827,0.1108,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
SIN_ET_TR_1F,MEASURE_ET_Cap3pf_0,A_high_x_high,2.2399,2.2065,1.49,0.0124,0.0406,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_DC_Diode_S11_dB_forw,MEASURE_ET_RF_Modeling_Cgd_err,A_high_x_high,2.1445,2.1061,1.79,0.089,0.1172,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_DC_PIV_Ids0_QP1,MEASURE_ET_Rcat_cn_2,A_high_x_high,2.101,2.0614,1.881,0.1278,0.1559,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
MEASURE_ET_DC_RF2_S22dB_26GHz,TOPSIN_ET_lkg_CapPARCAP,A_high_x_high,2.0078,1.9747,1.65,0.2016,0.2298,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Idss_W,A_high_x_high,2.1769,2.1429,1.565,0.0652,0.0934,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
TOPSIN_ET_Gm_m2,MEASURE_ET_DC_RF_Id_Vbon_min,A_high_x_high,2.2046,2.1682,1.651,0.0419,0.0701,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,TOPSIN_ET_C100CapUSV,A_high_x_high,2.2022,2.1697,1.477,0.0458,0.074,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_DC_RF_S11dB_10GHz,MEASURE_ET_Rc_f_tn_23,A_high_x_high,2.1806,2.1404,1.845,0.0632,0.0915,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
MEASURE_ET_DC_RF_S11dB_26GHz,TOPSIN_ET_Rc_f_tn_23,A_high_x_high,2.199,2.1581,1.86,0.0382,0.0663,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
MEASURE_ET_DC_RF_Vbgs_0p1,MEASURE_ET_RF_Modeling_Ls,A_high_x_high,2.1168,2.0875,1.388,0.1097,0.1379,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
MEASURE_ET_DC_RF_Vt_gd,SIN_ET_DC_RF_Ids_m0p2,A_high_x_high,2.2028,2.1655,1.692,0.0402,0.0684,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
TOPSIN_ET_CapPARCAP,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,A_high_x_high,2.1825,2.1476,1.597,0.0589,0.0871,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
THIN_ET_R_4000_HOR,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,A_high_x_high,2.226,2.1887,1.673,0.0214,0.0496,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_R414,SIN_GATE_ET_lkg_SY8_80,A_high_x_high,2.0343,1.9898,2.19,0.1712,0.1993,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
MEASURE_ET_RF_Modeling_Fmax,TOPSIN_ET_DC_RF_Vbgs_0p1,A_high_x_high,2.1813,2.1434,1.738,0.0624,0.0906,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_RF_Modeling_Gm,THIN_ET_DC_RF_Vbgs_0p1,A_high_x_high,2.0518,2.0197,1.561,0.1691,0.1973,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_RF_Modeling_S22dB_10GHz,OHMIC_ET_OHMC,A_high_x_high,2.2277,2.1914,1.632,0.0219,0.0501,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
MEASURE_ET_R_f_hr_3,THIN_ET_DC_RF_Imax,A_high_x_high,2.1993,2.168,1.423,0.0415,0.0698,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
SIN_ET_DC_RF_Vg_max_Vd,MEASURE_ET_Rc_OG142_GN,A_high_x_high,2.0883,2.0519,1.74,0.132,0.1602,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_lkg_50_at20V,THIN_ET_i5021_3,A_high_x_high,2.0953,2.0612,1.625,0.1306,0.1588,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
TOPSIN_ET_R_f_tn_1,MESA_ET_Vbkd,A_high_x_high,2.1901,2.1521,1.732,0.0563,0.0845,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
SIN_ET_DC_RF_Vg_max_Vd,SIN_ET_lkg_SY07_10,A_high_x_high,1.9904,1.9533,1.864,0.2099,0.2382,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
SIN_ET_Probe_Number,TOPSIN_ET_Rc_f_tn_23,A_high_x_high,2.1844,2.1496,1.591,0.0581,0.0864,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
SIN_GATE_ET_RGAN2,TOPSIN_ET_lkg_SY07_10,A_high_x_high,2.0196,1.9952,1.206,0.1758,0.204,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
THIN_ET_KLV_F_AB_4u,THIN_ET_C_AN_2,A_high_x_high,2.1799,2.144,1.649,0.0588,0.087,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
TOPSIN_ET_DC_RF_Vbgs1,THIN_ET_DC_RF_Vg_optt2,A_high_x_high,2.1294,2.0944,1.642,0.1084,0.1367,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
THIN_ET_Ran_con_1,THIN_ET_lkg_C200,A_high_x_high,2.0006,1.9567,2.192,0.2072,0.2354,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
TOPSIN_ET_Vg_gm_max,TOPSIN_ET_Vdg_max,A_high_x_high,2.195,2.16,1.595,0.0496,0.0779,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
MEASURE_ET_DC_SEC_Idss,THIN_ET_C300,C_broadscreen_outlier_neither_high,2.1595,2.1168,1.977,0.0789,0.107,0.0282,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0282."
THIN_ET_Rc_an_ct2_OW_CR,THIN_ET_C300,E_spline_strong_v3_underrepresented,2.1104,2.0709,1.869,0.1285,0.1567,0.0282,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
SIN_ET_DC_RF_Vg_gm_max,ANODE_ET_Rc_an_ct2_OW_CR,A_high_x_high,2.143,2.1028,1.875,0.0906,0.1188,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
THIN_ET_C20_0,CATHODE_ET_Rcat_cn_1,A_high_x_high,2.1751,2.1455,1.362,0.0642,0.0922,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
FIC_ET_Gm_m2,CATHODE_ET_Rcat_cn_3_OW_ST,A_high_x_high,2.1234,2.0803,2.029,0.1069,0.135,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
FIC_ET_DC_RF_Imax,THIN_ET_HIRS,A_high_x_high,2.2034,2.1719,1.428,0.0395,0.0676,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MESA_ET_Vbkd,FIC_ET_DC_RF_Vbgs1,A_high_x_high,2.157,2.1226,1.594,0.0774,0.1056,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
FIC_ET_DC_RF_Vg_optt,SIN_ET_DC_RF_Vt_gd,A_high_x_high,2.2125,2.1762,1.641,0.0338,0.0619,0.0281,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0281 -- majority but not unanimous.
FIC_ET_R_f_tn_1,TOPSIN_ET_Load_Pull_P.A.E_Last,A_high_x_high,2.1797,2.1447,1.605,0.0581,0.0861,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
FIC_ET_Vp_1,THIN_ET_lkg_100_at20V,A_high_x_high,1.9917,1.9582,1.682,0.2073,0.2353,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
FIC_ET_lkg_SY8_80,THIN_ET_Ran_con_2_OW_CR,A_high_x_high,2.0633,2.0265,1.782,0.1466,0.1747,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_lkg_5,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high,2.0582,2.0198,1.865,0.1598,0.1879,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_C100,SIN_ET_DC_RF_Idss,A_high_x_high,2.2119,2.1779,1.535,0.0369,0.065,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_DC_RF2_S21ang_26GHz,MEASURE_ET_C100C175pf,A_high_x_high,2.1692,2.1269,1.95,0.07,0.0981,0.0281,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0281 -- majority but not unanimous.
MEASURE_ET_C300,THIN_ET_DC_RF_Vg_optt3,A_high_x_high,2.2185,2.1854,1.489,0.0266,0.0547,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_C300FB_0,MEASURE_ET_DC_RF_CF_S21_Mag_L1018,A_high_x_high,2.1958,2.1615,1.56,0.0548,0.0829,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_C300M1B_0,A_high_x_high,2.1873,2.1514,1.642,0.062,0.0901,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TOPSIN_ET_Rc_OG144,MEASURE_ET_C_CAT_2,A_high_x_high,2.1591,2.1256,1.552,0.0762,0.1043,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_Cap2pf_0,TOPSIN_ET_Load_Pull_P.A.E_Last,A_high_x_high,2.1743,2.1281,2.124,0.0629,0.0909,0.0281,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0281 -- majority but not unanimous.
TOPSIN_ET_R414,MEASURE_ET_DC_RD_K,A_high_x_high,2.225,2.1899,1.577,0.0227,0.0509,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_5,A_high_x_high,2.061,2.0229,1.846,0.1623,0.1904,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TOPSIN_ET_sh_f_tn_23,MEASURE_ET_DC_RF_CF_S22_Ph_L2180,A_high_x_high,2.2686,2.2387,1.318,-0.0142,0.0139,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,THIN_ET_DC_RF_Vg_max_Vd,A_high_x_high,2.25,2.2147,1.565,0.0007,0.0288,0.0281,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0281 -- majority but not unanimous.
MEASURE_ET_DC_RF_S11dB_10GHz,TOPSIN_ET_Gm_m2,A_high_x_high,2.2028,2.1729,1.355,0.0381,0.0662,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_DC_RF_S22dB_26GHz_W,THIN_ET_DC_RF_Imax,A_high_x_high,2.1673,2.1314,1.659,0.0672,0.0953,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TOPSIN_ET_Cap1pf,MEASURE_ET_DC_RF_Vboff,A_high_x_high,2.2154,2.1797,1.614,0.0341,0.0622,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_HIRS,A_high_x_high,2.2377,2.1989,1.732,0.0136,0.0417,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,A_high_x_high,2.2125,2.1797,1.482,0.0328,0.0608,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_DC_SEC_X_Vboff_Id,THIN_ET_DC_RF_Vg_optt3,A_high_x_high,2.1917,2.157,1.584,0.0511,0.0793,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
THIN_ET_sh_f_hr_23,MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,A_high_x_high,2.1747,2.1401,1.59,0.0713,0.0994,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_Load_Pull_Pout_W_mm_last,MEASURE_ET_DC_SMALL_Vbgs_0p01,A_high_x_high,2.1707,2.1328,1.749,0.067,0.0951,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
THIN_ET_i5021_1,MEASURE_ET_DC_Stress_Id_max_Ig_after,A_high_x_high,2.1609,2.1314,1.366,0.0775,0.1055,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
THIN_ET_C200_0,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,A_high_x_high,2.0428,2.0051,1.845,0.1751,0.2032,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_RF_Modeling_Cgd_err,THIN_ET_C_AN_2,A_high_x_high,2.055,2.0213,1.638,0.1599,0.188,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_RF_Modeling_Ft,THIN_ET_DC_RF_Vg_max_Vd,A_high_x_high,2.1904,2.1507,1.813,0.048,0.0762,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TOPSIN_ET_DC_RF_Vbgs1,MEASURE_ET_RF_Modeling_Vth,A_high_x_high,2.134,2.1036,1.424,0.1035,0.1316,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
MEASURE_ET_RGAN1,TOPSIN_ET_R514,A_high_x_high,2.2003,2.1588,1.888,0.0383,0.0664,0.0281,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0281 -- majority but not unanimous.
THIN_ET_R_4000_HOR,MEASURE_ET_Rc_OG142_GN,A_high_x_high,2.1054,2.0695,1.702,0.1198,0.148,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TOPSIN_ET_CapFICM1_0,MEASURE_ET_Rcat_cn_2,A_high_x_high,2.0913,2.053,1.833,0.1386,0.1667,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TOPSIN_ET_DC_RF_Imax,MEASURE_ET_USV_Cappf,A_high_x_high,2.1959,2.1607,1.604,0.0476,0.0757,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TOPSIN_ET_Gate_res,OHMIC_ET_R314,A_high_x_high,2.1751,2.1373,1.739,0.0634,0.0915,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TFRP_ET_Rsh_TFR2,SIN_ET_DC_RF_Ids_m0p2,A_high_x_high,2.109,2.0732,1.701,0.1194,0.1475,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
SIN_GATE_ET_Rc_an_ct2,THIN_ET_i5021_1,A_high_x_high,2.1601,2.1244,1.648,0.0829,0.1109,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
THIN_ET_DC_RF_Vg_max_Vd_0p1mA,TOPSIN_ET_DC_RF_Idss,A_high_x_high,2.2344,2.2015,1.476,0.0163,0.0444,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
TOPSIN_ET_DC_RF_Vt_gd,THIN_ET_DC_RF_n_gs,A_high_x_high,2.199,2.1632,1.629,0.0485,0.0766,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
THIN_ET_lkg_100_at20V,THIN_ET_R_f_hr_3,A_high_x_high,1.9981,1.9662,1.597,0.1991,0.2272,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
THIN_ET_Ran_con_1,TOPSIN_ET_KLV_F_AB_4u,A_high_x_high,2.2156,2.1764,1.771,0.0349,0.063,0.0281,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0281 -- majority but not unanimous.
ANODE_ET_Probe_Number,OHMIC_ET_Rsh_an_ct2,A_high_x_high,2.1295,2.0955,1.598,0.1091,0.1371,0.0281,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0281."
ANODE_ET_Rc_an_ct2,OHMIC_ET_Ran_con_1,A_high_x_high,2.037,2.0003,1.802,0.1829,0.2109,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
BRGM_ET_KLV_F_AB_4u,TOPSIN_ET_CapUSV_0,A_high_x_high,2.183,2.1446,1.76,0.0624,0.0904,0.028,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0280 -- majority but not unanimous.
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_R_f_tn_1,A_high_x_high,2.1055,2.0663,1.862,0.1276,0.1556,0.028,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0280 -- majority but not unanimous.
CATHODE_ET_Rsh_cat_c2,TOPSIN_ET_CapFICM1,A_high_x_high,2.2049,2.1659,1.765,0.0393,0.0673,0.028,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0280 -- majority but not unanimous.
TOPSIN_ET_Rc_f_tn_23,CATHODE_ET_Rsh_cat_c2,A_high_x_high,2.2159,2.1797,1.635,0.0287,0.0567,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
TOPSIN_ET_Vg_gm_max,CATHODE_ET_Rsh_cat_c2,A_high_x_high,2.2385,2.2021,1.628,0.0132,0.0412,0.028,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0280 -- majority but not unanimous.
MEASURE_ET_CapPARCAP_0,FIC_ET_DC_PIV_Gate_Lag_0,A_high_x_high,2.0364,2.0003,1.77,0.1845,0.2125,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
OHMIC_ET_sh_GA142,FIC_ET_DC_RF_Vbgs1,A_high_x_high,2.1091,2.0759,1.577,0.1138,0.1417,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
SIN_ET_TR_1F,FIC_ET_DC_RF_Vdg_max_0p1mA,A_high_x_high,2.2584,2.2264,1.415,-0.0093,0.0186,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
MEASURE_ET_DC_PIV_Drain_Lag_0,FIC_ET_Probe_Number,A_high_x_high,2.0825,2.0425,1.924,0.1451,0.1731,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
MEASURE_ET_Load_Pull_Pout_W_mm_last,FIC_ET_Probe_Number,A_high_x_high,2.2293,2.1917,1.684,0.0224,0.0504,0.028,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0280 -- majority but not unanimous.
FIC_ET_R_f_hr_3,MEASURE_ET_Vbpin,A_high_x_high,2.172,2.1388,1.527,0.0682,0.0962,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
FIC_ET_lkg_SY8_80,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_high_x_high,2.0352,2.0017,1.648,0.1744,0.2024,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
TOPSIN_ET_DC_SMALL_Vg_gm_max,MEASURE_ET_ABVIETCH,A_high_x_high,2.1331,2.0945,1.813,0.0987,0.1267,0.028,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0280 -- majority but not unanimous.
THIN_ET_DC_RF_Vg_max_Vd_0p1mA,MEASURE_ET_C100USV_Cappf,A_high_x_high,2.2009,2.1646,1.65,0.0476,0.0756,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
MEASURE_ET_C300,SIN_GATE_ET_Ran_con_2,A_high_x_high,2.237,2.2058,1.395,0.0144,0.0424,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
MEASURE_ET_DC_Diode_S11_dB_forw,MEASURE_ET_RF_Modeling_Vth,A_high_x_high,2.2428,2.2033,1.761,0.0057,0.0336,0.028,3/5,MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0280 -- majority but not unanimous.
TOPSIN_ET_Cap_C300,MEASURE_ET_DC_RD_K,A_high_x_high,2.2193,2.1849,1.552,0.0288,0.0568,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
MEASURE_ET_DC_RF2_S21ang_26GHz,OHMIC_ET_R314,A_high_x_high,2.1658,2.1351,1.422,0.0706,0.0987,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,MEASURE_ET_DC_SMALL_Vbgs_0p01,A_high_x_high,2.155,2.1209,1.585,0.0833,0.1113,0.028,4/5,MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0280."
