parameter_A,parameter_B,broad_screen_score
MEASURE_ET_DC_RF_Gm_m0p2,THIN_ET_lkg_100_at20V,0.4296483818260229
MEASURE_ET_Rcat_cn_1,THIN_ET_lkg_100_at20V,0.4295554950586595
MEASURE_ET_Ran_con_3,THIN_ET_lkg_100_at20V,0.4295487568301698
MEASURE_ET_lkg_Cap_USV,MEASURE_ET_Rc_OG142_GN,0.4295245599095912
SIN_GATE_ET_lkg_5,TOPSIN_ET_CapFICM1,0.4293780275424886
MEASURE_ET_CapPARCAP,THIN_ET_lkg_100_at20V,0.429338673249446
MEASURE_ET_RF_Modeling_Id_search,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42933532487463083
FIC_ET_DC_RF_Vp_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42916688432835975
CATHODE_ET_Rcat_cn_2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42908867128406913
THIN_ET_Rcat_cn_2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4289216682859014
MEASURE_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,0.42890233623066054
THIN_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42888376191632127
CATHODE_ET_Rcat_cn_1,TOPSIN_ET_lkg_C450pf,0.4288473895071226
CATHODE_ET_Rcat_cn_3,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4287343212615601
THIN_ET_lkg_100_at20V,TOPSIN_ET_Rc_OG144,0.4286857030830501
MEASURE_ET_CapPARCAP_0,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4285561860091757
FIC_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42854846642660616
MEASURE_ET_DC_RF_Id_Vbon_min,TOPSIN_ET_lkg_C450pf,0.42832765007016105
THIN_ET_lkg_100_at20V,THIN_ET_Rcat_cn_1,0.4283005873995341
THIN_ET_lkg_100_at20V,THIN_ET_DC_RF_Vds_max_0p1mA,0.4282537336126751
MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.4281553776852261
MEASURE_ET_lkg_CapFICM1,SIN_GATE_ET_Rc_an_ct2,0.42812520658498604
CATHODE_ET_Rc_cat_ct2_OW_ST,THIN_ET_lkg_100_at20V,0.4280019703643748
MEASURE_ET_DC_Big_S11dB_10GHz,THIN_ET_lkg_100_at20V,0.4279052820236988
CATHODE_ET_Rsh_cat_c2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4279017578504204
MEASURE_ET_Rsh_cat_c2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.427843657024173
MEASURE_ET_DC_RF_S22dB_26GHz_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42760054798434566
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_Rc_an_ct2,0.42749890990604494
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4274634877919131
MEASURE_ET_DC_RF2_S22ang_26GHz,THIN_ET_lkg_100_at20V,0.4274507397670786
THIN_ET_Rc_F_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42738688392849106
MEASURE_ET_Rcat_cn_1,TOPSIN_ET_lkg_C450pf,0.4273500380802007
FIC_ET_lkg_SY8_80,FIC_ET_DC_RF_Ids_m0p2,0.42733782786004326
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.427329075331454
MEASURE_ET_DC_RF_S11ang_10GHz,THIN_ET_lkg_100_at20V,0.4272788094480605
TOPSIN_ET_DC_PIV_Drain_Lag_1,BMETAL1_Height_Metal1_metal_thickness,0.4272441349113681
CATHODE_ET_Rcat_cn_3_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4272421450204636
MEASURE_ET_C100CapPARCAP,MEASURE_ET_lkg_CapFICM1,0.42722702783570793
MEASURE_ET_Rcat_cn_2_OW_ST,THIN_ET_lkg_100_at20V,0.4272251787399436
TOPSIN_ET_C100CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4271654396703433
MEASURE_ET_DC_RF_Gm_m0p2,TOPSIN_ET_lkg_C450pf,0.42698592920529876
MESA_ET_Probe_Number,TOPSIN_ET_lkg_C450pf,0.42695002511395824
MEASURE_ET_DC_SEC_Vgs_0p1V,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42693741005760494
MEASURE_ET_RF_Modeling_ids_m0p2_W,THIN_ET_lkg_100_at20V,0.42688419506986186
MESA_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4268438959296018
THIN_ET_DC_RF_Gm_max,TOPSIN_ET_lkg_C450pf,0.4267907192274406
MEASURE_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.426734841156125
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4266448960766813
SIN_ET_Probe_Number,THIN_ET_lkg_100_at20V,0.4266224063674225
FIC_ET_lkg_SY8_80,MEASURE_ET_C100CapPARCAP,0.42654874772661294
MEASURE_ET_RF_Modeling_S22dB_10GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42654612801185815
FIC_ET_Rc_f_tn_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42638509549382275
MEASURE_ET_CapPARCAP_0,THIN_ET_lkg_100_at20V,0.4262732221864685
SIN_GATE_ET_lkg_SY8_80,THIN_ET_Rc_f_hr_23,0.4262580773930016
TOPSIN_ET_DC_PIV_Drain_Lag_1,BRIDGE_METAL_Height_Final_TOP_metal_thickness,0.42612377005492535
THIN_ET_C_AN_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42612343073297654
TOPSIN_ET_Gate_res,TOPSIN_ET_lkg_C450pf,0.42608136893859094
TOPSIN_ET_DC_PIV_Drain_Lag_1,THIN_Measure2_Thickness_after_grinding,0.4260779388434142
THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_lkg_C450pf,0.4260658442579198
SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4260435954488356
OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4260372925391465
MEASURE_ET_lkg_Cap_USV,MESA_ET_Probe_Number,0.42596767578722106
MEASURE_ET_Rc_an_ct2,SIN_GATE_ET_lkg_SY8_80,0.42596555462584423
THIN_ET_lkg_100_at20V,TOPSIN_ET_Load_Pull_Gain_comp_Last,0.4256819870651118
MaskSetSupplyChipsCount,THIN_ET_lkg_100_at20V,0.4255856101199628
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,0.42544683499118663
TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,0.4253527513287832
TOPSIN_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4253051670137698
MEASURE_ET_DC_SEC_Gm_0,THIN_ET_lkg_100_at20V,0.4252619230127422
SIN_GATE_ET_lkg_SY8_80,TFRP_ET_Rc_TF_AB_2,0.4252462665917714
THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42522981891340944
