parameter_A,parameter_B,broad_screen_score,shap_interaction_strength,h_statistic_strength,fold_reproducibility,fold_count,evidence_label
THIN_ET_Rcat_cn_2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4289216682859014,2.8896793808687022e-05,0.0005328056206112666,4/5,4,STRONG
THIN_ET_Rc_F_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.427386883928491,2.7686483457250293e-05,0.0006331872502414033,5/5,5,STRONG
MEASURE_ET_Rc_cat_ct2_OW_ST,THIN_ET_lkg_100_at20V,0.4370703000258489,1.3490662062417225e-05,0.00022820711409844387,4/5,4,STRONG
FIC_ET_lkg_SY8_80,MEASURE_ET_C100CapPARCAP,0.4265487477266129,7.841043234788694e-06,0.0004890636970309182,5/5,5,STRONG
MEASURE_ET_DC_SMALL_Vp_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4245393424190203,1.490119545734623e-06,4.5273776236060196e-05,4/5,4,STRONG
MEASURE_ET_DC_SEC_Gm_0,THIN_ET_lkg_100_at20V,0.4252619230127422,0.0015272606442067792,0.022326127666303663,2/5,2,MODERATE
MEASURE_ET_DC_SEC_Idss,THIN_ET_lkg_100_at20V,0.4250285354249096,0.0014484627250680563,0.018385165971304768,3/5,3,MODERATE
THIN_ET_lkg_100_at20V,THIN_ET_Rc_TF_AB_2,0.4400513765415771,0.0013839862283955566,0.021513615043418727,3/5,3,MODERATE
TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_lkg_C450pf,0.4557861586542718,0.0013454615513360168,0.044334172123913676,2/5,2,MODERATE
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1_0,0.43059914275502,0.0010652817229415078,0.01784397713059243,2/5,2,MODERATE
THIN_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4288837619163212,0.0006224476900066733,0.010344726186655287,3/5,3,MODERATE
FIC_ET_Rc_f_hr_23,TOPSIN_ET_lkg_C450pf,0.4381138189999471,0.0005297584660960068,0.013341352042937862,3/5,3,MODERATE
MEASURE_ET_DC_RF_Gm_m0p2_W,THIN_ET_lkg_100_at20V,0.4243858438524774,0.000518067497289158,0.008999110023325032,2/5,2,MODERATE
MEASURE_ET_CapPARCAP,THIN_ET_lkg_100_at20V,0.429338673249446,0.000507254901297079,0.012713853915707157,3/5,3,MODERATE
CATHODE_ET_Rcat_cn_3_OW_ST,TOPSIN_ET_lkg_C450pf,0.4387602482126643,0.0003081738648229414,0.008492480242402593,3/5,3,MODERATE
MESA_ET_Probe_Number,THIN_ET_lkg_100_at20V,0.437361218788431,0.0002854461625998934,0.0038982201719438446,3/5,3,MODERATE
MEASURE_ET_RF_Modeling_Id_search,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4293353248746308,0.0002579009487868371,0.004555630591012387,3/5,3,MODERATE
MEASURE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.4465949198825434,0.00023175838286485306,0.004142241637138034,3/5,3,MODERATE
FIC_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.430010113327347,0.00017663108346540986,0.002234474125796019,3/5,3,MODERATE
CATHODE_ET_Rcat_cn_2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4290886712840691,0.00016818262637450352,0.0018850794839518198,2/5,2,MODERATE
SIN_ET_Probe_Number,THIN_ET_lkg_100_at20V,0.4266224063674225,0.00015856253923099038,0.0024696179229055284,3/5,3,MODERATE
SIN_GATE_ET_lkg_SY8_80,THIN_ET_Rc_cat_ct2,0.4387662257461062,0.0001270128943806244,0.0008711071762110006,3/5,3,MODERATE
FIC_ET_Rc_f_hr_23,THIN_ET_lkg_100_at20V,0.4393485550359953,0.00011385955934696006,0.0034392878344816553,3/5,3,MODERATE
THIN_ET_lkg_100_at20V,TOPSIN_ET_Rc_OG144,0.4286857030830501,0.0001084391138721768,0.0004599679943665161,3/5,3,MODERATE
CATHODE_ET_Rsh_cat_c2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4279017578504204,9.593411341835321e-05,0.0034039313937306546,2/5,2,MODERATE
THIN_ET_Rc_cat_ct2,TOPSIN_ET_lkg_SY07_10,0.4251078908576203,9.409018309180119e-05,8.874351698161912e-13,3/5,3,MODERATE
THIN_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4384380850080492,9.106913366371851e-05,0.001699469114551127,2/5,2,MODERATE
FIC_ET_lkg_SY8_80,SIN_GATE_ET_Rc_an_ct2,0.4328051286826952,5.00823573186114e-05,0.0008847491046809498,2/5,2,MODERATE
