relationship_type,parameter_A,parameter_B,ebm_evidence_label,ebm_shape,existing_spline_label,existing_v2_label,status
single_parameter,MEASURE_ET_VIA_KLV_2,,INCONCLUSIVE,FLAT,MODERATE,WEAK,EXISTING_ONLY
single_parameter,MEASURE_ET_C20_0,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_RF2_S12dB_26GHz,,INCONCLUSIVE,FLAT,STRONG,WEAK,EXISTING_ONLY
single_parameter,SIN_GATE_ET_sh_GA144,,INCONCLUSIVE,FLAT,WEAK,INCONCLUSIVE,INCONCLUSIVE_BOTH
single_parameter,FIC_ET_DC_RF_Vg_max_Vd_0p1mA,,INCONCLUSIVE,FLAT,MODERATE,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg_FPSD3p2,,INCONCLUSIVE,FLAT,INCONCLUSIVE,STRONG,EXISTING_ONLY
single_parameter,MEASURE_ET_CapUSV_0,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,THIN_ET_DC_RF_Vt_gd,,INCONCLUSIVE,FLAT,INCONCLUSIVE,WEAK,INCONCLUSIVE_BOTH
single_parameter,TOPSIN_ET_DC_RF_Gm_max,,INCONCLUSIVE,FLAT,STRONG,WEAK,EXISTING_ONLY
single_parameter,FIC_ET_lkg_SY8_80,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_Vds_max_ON,,INCONCLUSIVE,FLAT,MODERATE,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_LT_SEC_Ig_Id_min_mA_mm_Vd8,,INCONCLUSIVE,FLAT,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE_BOTH
single_parameter,THIN_ET_lkg_C300,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,TOPSIN_ET_R_f_hr_1,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,THIN_ET_i5021_1,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,TOPSIN_ET_C500pf,,INCONCLUSIVE,FLAT,STRONG,WEAK,EXISTING_ONLY
