,fold_0,fold_1,fold_2,fold_3,fold_4
FIC_ET_R214,0.001831571092003513,0.0006846207719947815,0.00011716206804641476,0.0,0.00030169593719062067
FIC_ET_R314,0.0002442651660182404,0.0,2.2436859181424266e-05,0.0004944558648706271,0.0019784703172857194
FIC_ET_R_f_hr_1,3.258136723612893e-05,0.0006716094252988471,0.0006752986799408305,0.00047725122257468827,0.00020215758331930495
FIC_ET_R_f_hr_2,4.828813393921599e-05,0.0,0.00015784603169542082,2.93841380758327e-05,1.7218892899390778e-05
FIC_ET_R_f_hr_3,0.0001288687376231656,0.000264067786944421,0.0001336276515911041,0.0002282251948545587,0.0004198750803030111
FIC_ET_R_f_tn_1,0.0013815383983214623,7.708682643021694e-05,0.0,1.7558353748460565e-05,0.00024550646058724764
FIC_ET_R_f_tn_2,0.00010880259467473925,0.0009946559207863607,0.003088663344301781,0.0003050172354553746,0.0014373484273795035
FIC_ET_R_f_tn_3,4.4046196276172105e-05,0.00015260744812484252,0.00021983528418203452,5.923565494836768e-05,2.5641974123707127e-05
FIC_ET_Rc_OG142,0.0014594716863217494,0.0005739817929428599,0.0,0.0,0.0
FIC_ET_Rc_f_hr_23,0.005491271788514843,0.0029866575724438985,0.007975548628349604,0.0017680423044758172,0.0
FIC_ET_Rc_f_tn_23,0.003402656578911387,0.00046989591469567946,0.0029659703460841224,0.0005371736320401423,0.0005655366203454107
FIC_ET_TANR,2.688903900011748e-05,5.9269963086550035e-05,4.528270316973289e-05,0.0,0.0006952390279182166
FIC_ET_TR_1F,0.00010875162736367253,0.0003188948302671129,3.447623560389916e-05,0.0013891122214692588,3.0276724857872838e-05
FIC_ET_Vd_at_Id_cut_cond,6.719002163757941e-05,0.0002122983276633665,0.00017495067316017124,0.0003925679122205608,0.00023779966056622245
FIC_ET_Vdg_max,0.001575349778206036,3.9825670583661075e-05,0.00022431141562419922,2.167031465392646e-05,0.00035058647525042236
FIC_ET_Vds_max,0.0001671077975998785,0.000902444032950163,0.0,0.004426845292256315,0.0008549358607350227
FIC_ET_Vg_Vds_max,7.877929356001687e-05,0.00048641205335672695,0.0005397101016872332,0.0001151327125409837,3.4185437728714826e-05
FIC_ET_Vg_gm_max,6.15843725909391e-05,9.230414622422285e-06,0.00018676406534134563,0.001172389018479682,0.0
FIC_ET_Vp_1,0.0012330354391562872,0.0,0.0009804436012629686,0.0,0.001359270791776979
FIC_ET_lkg_5,4.3615861502690144e-05,0.0028316341065197756,0.00021917918938739334,0.0015937052723951873,0.0014961890904395634
FIC_ET_lkg_SY07_10,0.0,0.0021445833747125087,0.00032497820181006846,8.017241845110972e-06,1.3022467453302225e-05
FIC_ET_lkg_SY8_80,0.012592589057826295,0.0008659516588964409,0.006377833706196939,0.00012514139035978868,0.0021062389917224796
FIC_ET_sh_GA142,6.948457966922152e-05,0.00015607549591693419,0.00010066184918324632,6.498363439313478e-05,2.5463348646701956e-05
FIC_ET_sh_f_hr_23,0.00015107850613830365,0.00010393623672517695,0.00021926612223659395,0.00010734921419212858,0.00018128353660163454
FIC_ET_sh_f_tn_23,0.0024721536506624574,0.00441631707611623,0.0024357058977165914,0.0026602927437372813,0.00484124782744196
FIC_Height_FIC_metal_thickness,2.099520804968115e-05,5.0211820009316414e-05,0.004327166418501267,0.0,8.939418301940104e-05
FIN_CD1_CD_PL_FIN,0.0004026290869858983,0.001066076665603571,0.0006090499921249809,0.00030924938560006614,0.0001183902657108081
FIN_CD2_CD_etch_FIN,0.00022789990342801514,0.0012071002891378317,0.0013556651685162101,0.00033771039830283897,0.00021736005041424718
FIN_Etch_Hard_Bias,0.00040651384758679627,6.088778271124152e-05,0.0010183309816570907,0.00024139890999428604,0.001684677921698984
FIN_Etch_Soft_Bias,0.0010055193486826276,0.0008001690929272692,0.0009046230787767169,0.0009639156058187647,6.75237989336308e-05
FIN_FIN_Alignment_FIN_to_ohmic_alignment,0.00020263397259929952,0.004617277541215634,0.0003645073764381531,0.007914955966085423,0.002288784761052066
FMESA_ET_Probe_Number,0.0005477420478700247,8.20017622738645e-05,0.0008857034682214909,0.003091501311921973,7.854949582369477e-05
FMESA_ET_Vbkd,0.0007963725473684669,0.0002907581313669692,0.0015625523195624336,5.595729030119554e-05,0.0009452261785292917
FMESA_Height_Fmesa_Height,8.727429630774561e-05,2.8727867273988114e-05,0.00013775073667601388,0.0001623398585584651,0.0001702392592582407
FP2_Height1_FP2_Height1,4.546148162369851e-05,4.396875855700116e-05,1.3648280313234969e-05,5.203152386945301e-05,0.00024218852482902592
FP2_Height2_FP2_Height2,0.0,0.00017760011196351705,0.0005336789449669192,0.0008847907955143243,0.0005782065476721841
GATE1_Thickness1_Triple_E-beam_thickness,0.00048729766884597387,0.0001124312125621259,0.0001951733593993109,0.0010461525824236012,3.810769885749555e-05
GATE2_Ali_Litho2_Gate_to_ohmic_alignment,9.005461740288568e-05,9.399470942010882e-06,0.0,6.51799344688934e-05,1.850534210297693e-05
GATE2_Ali_Litho_Gate_to_recess_alignment,0.0017599851668813162,0.0008756221342908204,7.798157614506122e-06,0.0,0.0009235011506168176
GATE2_CD_310nm_Gate_Leg_Length,0.0005333008179150737,0.00010733836648306179,5.1339263210891956e-05,7.501400675012304e-05,0.00019931085946064847
GATE2_CD_310nm_Gate_Win_Length,8.556403647059724e-05,0.0006661970704809597,0.0002627346840911407,0.0004112953374595218,0.000578926233629955
GATE2_CD_330nm_Gate_Leg_Length,3.3635171302386005e-05,0.00011365463068267788,0.0003538554275258135,0.001249939486201275,0.00015023382187871282
