parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_Cap3pf_0,2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,2.1715,2.159,0.578,0.0704,0.0819,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_C_CAT_2,MEASURE_ET_lkg_CapFICM1,1_triangle,2.1313,2.1181,0.616,0.0994,0.1109,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_DC_Diode_S11_dB_forw,MEASURE_ET_lkg_Cap1,OHMIC_ET_lkg_5,2_shared_node_chaining,2.1401,2.1261,0.655,0.0941,0.1056,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_Cap1,MEASURE_ET_lkg_USV_Cap,2_shared_node_chaining,2.154,2.1415,0.578,0.0798,0.0913,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_C300FM1,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,2.194,2.1815,0.571,0.044,0.0556,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,2.1127,2.0988,0.657,0.1173,0.1288,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,TOPSIN_ET_Cap_USV,2_shared_node_chaining,2.1268,2.1134,0.631,0.1067,0.1182,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
FIC_ET_DC_PIV_Drain_Lag_1,MEASURE_ET_lkg_70,SIN_ET_lkg_SY8_80,2_shared_node_chaining,2.0768,2.0612,0.749,0.1505,0.162,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_C100USV_Cappf,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,THIN_ET_DC_RF_Imax,2_shared_node_chaining,2.2354,2.2223,0.585,0.0129,0.0244,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_DC_RF2_S22ang_26GHz,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,TOPSIN_ET_DC_RF_Imax,2_shared_node_chaining,2.201,2.1882,0.584,0.0413,0.0528,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
BRGM_ET_Rsh_F_AB_2,MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,2_shared_node_chaining,2.0813,2.067,0.687,0.1434,0.1549,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
FIC_ET_sh_f_tn_23,MEASURE_ET_DC_Diode_S11_dB_forw,MEASURE_ET_DC_Stress_Id_max_Ig_after,2_shared_node_chaining,2.1764,2.163,0.615,0.0663,0.0778,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_DC_RF_Vg_optt,2_shared_node_chaining,2.1545,2.142,0.581,0.0797,0.0912,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_DC_RF_Imax,TOPSIN_ET_R_f_hr_3,2_shared_node_chaining,2.1208,2.108,0.607,0.1157,0.1271,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
OHMIC_ET_lkg_5,TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.0964,2.0824,0.664,0.1344,0.1459,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_C_CAT_2,MEASURE_ET_lkg_100,THIN_ET_lkg_C200,3_edge_plus_high_or_medium_conditional,2.1348,2.1219,0.604,0.1005,0.112,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_C_CAT_2,TOPSIN_ET_CapFICBRGM,TOPSIN_ET_lkg_Cap_USV,3_edge_plus_high_or_medium_conditional,2.136,2.1218,0.666,0.1003,0.1118,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,OHMIC_ET_lkg_5,TFRP_ET_Rc_TF_AB_2,3_edge_plus_high_or_medium_conditional,1.9907,1.9761,0.734,0.2124,0.2239,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
THIN_ET_Rc_cat_ct2,TOPSIN_ET_CapUSV_0,TOPSIN_ET_DC_RF_Vbgs_0p1,3_edge_plus_high_or_medium_conditional,2.0147,2.0008,0.691,0.1975,0.209,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_DC_RF2_MAG_26GHz,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_Rc_an_ct2_OW_CR,3_edge_plus_high_or_medium_conditional,2.1393,2.1259,0.627,0.0958,0.1074,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_HIRS,MEASURE_ET_lkg_CapFICBRGM,TOPSIN_ET_DC_SMALL_Vbgd1,3_edge_plus_high_or_medium_conditional,2.1407,2.1263,0.669,0.0937,0.1052,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
FIC_ET_DC_RF_Vg_max_Vd,SIN_ET_DC_RF_Vbgd_0p1,TOPSIN_ET_lkg_Cap_USV,6_hub_triple_interaction_neighborhood,2.1349,2.1215,0.626,0.1008,0.1123,0.0115,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0115."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_R414,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.149,2.1364,0.585,0.0848,0.0962,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
MEASURE_ET_DC_RF_Idss_W,MEASURE_ET_HIRS,TOPSIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining,2.1788,2.1661,0.579,0.0612,0.0726,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
ANODE_ET_Probe_Number,MEASURE_ET_C_CAT_2,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,1_triangle+2_shared_node_chaining,2.2356,2.2236,0.537,0.0108,0.0222,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
ANODE_ET_Ran_con_1,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,2.1012,2.0869,0.68,0.1296,0.1409,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
FIC_ET_DC_RF_Imax,OHMIC_ET_OHMC,TOPSIN_ET_CapPARCAP_0,3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,2.2115,2.1988,0.576,0.0324,0.0438,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
FIC_ET_DC_RF_Vbgs1,MEASURE_ET_C_CAT_2,TOPSIN_ET_lkg_SY8_80,2_shared_node_chaining,2.1259,2.1123,0.637,0.1038,0.1152,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,MEASURE_ET_DC_RF_K_W,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,2.1672,2.1533,0.641,0.0674,0.0787,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
FIC_ET_Bad_Gates,MEASURE_ET_R414,TOPSIN_ET_CapFICM1,2_shared_node_chaining,2.2275,2.2147,0.575,0.0224,0.0337,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
CATHODE_ET_Rcat_cn_2,MEASURE_ET_HIRS,MEASURE_ET_lkg_5,2_shared_node_chaining,2.1835,2.1708,0.584,0.0621,0.0735,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
FIC_ET_sh_f_tn_23,MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rcat_cn_3,2_shared_node_chaining,2.1456,2.1328,0.597,0.0918,0.1031,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_TF_AB_1,2_shared_node_chaining,2.1745,2.1608,0.627,0.0704,0.0818,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_lkg_70_at20V,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,2.1261,2.1134,0.597,0.1073,0.1187,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_lkg_Cap1,2_shared_node_chaining,2.1174,2.1037,0.647,0.1157,0.1271,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
MEASURE_ET_C_CAT_2,MEASURE_ET_DC_Diode_Rs_9p5,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,2.1346,2.1212,0.625,0.0972,0.1086,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
MEASURE_ET_DC_SEC_Vbin_gs,MEASURE_ET_DC_SEC_X_Bin,SIN_ET_DC_RF_Vg_max_Vd_0p1,3_edge_plus_high_or_medium_conditional,2.1069,2.0932,0.651,0.1239,0.1353,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
OHMIC_ET_lkg_5,THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_DC_RF_Vg_gm_max,3_edge_plus_high_or_medium_conditional,2.0924,2.0784,0.672,0.1328,0.1442,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
MEASURE_ET_HIRS,THIN_ET_Rc_f_hr_23,TOPSIN_ET_DC_RF_Idss,3_edge_plus_high_or_medium_conditional,2.1698,2.1581,0.538,0.0623,0.0737,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
FIC_ET_Bad_Gates,MEASURE_ET_lkg_PAD_10,SIN_ET_DC_RF_Vbgd_0p1,3_edge_plus_high_or_medium_conditional,2.1315,2.118,0.634,0.1018,0.1132,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
FIN_FIN_Alignment_FIN_to_ohmic_alignment,THIN_ET_Rc_OG142,TOPSIN_ET_Cap_C300,3_edge_plus_high_or_medium_conditional,2.0837,2.0709,0.616,0.1308,0.1422,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
FIN_FIN_Alignment_FIN_to_ohmic_alignment,THIN_ET_Rc_OG142,TOPSIN_ET_CapFICBRGM,3_edge_plus_high_or_medium_conditional,2.1111,2.0983,0.605,0.111,0.1224,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
MEASURE_ET_DC_RF_Id_Vbon_min,SIN_ET_DC_RF_Vbin_gd,TOPSIN_ET_DC_RF_Vbgs_0p1,3_edge_plus_high_or_medium_conditional,1.9886,1.9739,0.736,0.2195,0.2309,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_Big_Vg_optt2,TOPSIN_ET_lkg_C450pf,6_hub_triple_interaction_neighborhood,2.0932,2.0793,0.663,0.1379,0.1492,0.0114,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0114."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,1_triangle+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,2.1588,2.1468,0.556,0.0772,0.0885,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_HIRS,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1021,2.0885,0.646,0.128,0.1393,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_DC_RF_S11dB_26GHz,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining,2.0379,2.0238,0.688,0.1772,0.1885,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_HIRS,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,TOPSIN_ET_Gm_m2,1_triangle+2_shared_node_chaining,2.141,2.1274,0.635,0.0976,0.109,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
ANODE_ET_Probe_Number,MEASURE_ET_R414,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining,2.1469,2.1347,0.569,0.0871,0.0984,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
ANODE_ET_Ran_con_1,FIC_ET_lkg_5,THIN_ET_DC_RF_Vbgs_0p1,1_triangle+2_shared_node_chaining,2.04,2.0272,0.628,0.1769,0.1882,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SMALL_Imax,TOPSIN_ET_C100Cap1pf,1_triangle+6_hub_triple_interaction_neighborhood,2.1204,2.1077,0.6,0.1107,0.122,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
ANODE_ET_Rc_an_ct2,CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_Load_Pull_Gss,1_triangle,2.2083,2.1943,0.636,0.0405,0.0518,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_DC_Stress_Id_stress_after,THIN_ET_DC_RF_Imax,TOPSIN_ET_Gm_max,2_shared_node_chaining,2.1021,2.0879,0.674,0.1232,0.1345,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
CATHODE_ET_Rcat_cn_2,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,2.0962,2.0827,0.643,0.1336,0.1449,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_C300FM1,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,2.1109,2.0977,0.625,0.1086,0.1199,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_R414,TOPSIN_ET_CapFICM1,TOPSIN_ET_DC_RF_n_gs,2_shared_node_chaining,2.2342,2.2222,0.534,0.0151,0.0264,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_DC_RF_Vbin_gs,THIN_ET_DC_RF_Id_gm_max,TOPSIN_ET_DC_RF_Idss,2_shared_node_chaining,2.2087,2.1966,0.55,0.037,0.0482,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_HIRS,MEASURE_ET_lkg_5,OHMIC_ET_R314,2_shared_node_chaining,2.1898,2.1763,0.617,0.0565,0.0678,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
FIC_ET_DC_PIV_Drain_Lag_1,OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,2_shared_node_chaining,2.1103,2.0973,0.618,0.1202,0.1315,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
FIC_ET_Rc_f_hr_23,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,2.1625,2.1493,0.608,0.0752,0.0865,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_DC_RF_Idss,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,2.1398,2.1263,0.632,0.0984,0.1096,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_lkg_70_at20V,2_shared_node_chaining,2.1238,2.1107,0.618,0.1103,0.1216,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
BRGM_ET_Rsh_F_AB_2,MEASURE_ET_R414,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,2.1409,2.1279,0.605,0.0919,0.1033,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_CapFICM1,3_edge_plus_high_or_medium_conditional,2.0229,2.0095,0.664,0.1912,0.2024,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
FIC_ET_Bad_Gates,FIN_FIN_Alignment_FIN_to_ohmic_alignment,THIN_ET_Rc_OG142,3_edge_plus_high_or_medium_conditional,2.0769,2.0638,0.628,0.1392,0.1505,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,TOPSIN_ET_DC_PIV_Ids0_QP3,3_edge_plus_high_or_medium_conditional,2.1753,2.1625,0.59,0.0674,0.0787,0.0113,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_CapPARCAP,SIN_ET_DC_RF_Idss,TOPSIN_ET_R114,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,2.2204,2.2078,0.57,0.0258,0.037,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_PAD_10,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1192,2.107,0.579,0.1113,0.1224,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_HIRS,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_C300pf,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1219,2.1088,0.619,0.1127,0.1239,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
ANODE_ET_Ran_con_1,MEASURE_ET_Load_Pull_Gss,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining,2.1014,2.0885,0.612,0.1281,0.1393,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_C_CAT_2,SIN_ET_lkg_SY8_80,THIN_ET_lkg_100_at20V,1_triangle+2_shared_node_chaining,2.1195,2.1054,0.661,0.1144,0.1256,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_CapPARCAP_0,1_triangle+2_shared_node_chaining,2.1815,2.1688,0.585,0.0593,0.0704,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_lkg_50_at20V,1_triangle+2_shared_node_chaining,2.1218,2.1094,0.585,0.1126,0.1238,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_DC_RF_Idss_W,MEASURE_ET_HIRS,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,2.1254,2.1123,0.613,0.1046,0.1158,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
BRGM_ET_Rsh_F_AB_2,MEASURE_ET_DC_RF_CF_S21_Mag_L1018,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,2.2314,2.2189,0.563,0.0154,0.0266,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
SIN_ET_DC_RF_Vg_max_Vd,THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,2_shared_node_chaining,2.0718,2.0591,0.617,0.1552,0.1664,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_C_CAT_2,SIN_ET_lkg_SY8_80,TOPSIN_ET_DC_SMALL_Vbgd1,2_shared_node_chaining,2.0868,2.0733,0.646,0.1388,0.15,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_lkg_70,SIN_ET_lkg_SY8_80,THIN_ET_DC_RF_Imax,2_shared_node_chaining,2.0879,2.0753,0.601,0.138,0.1492,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_lkg_70,SIN_ET_lkg_SY8_80,THIN_ET_DC_RF_Vg_optt1,2_shared_node_chaining,2.0846,2.0709,0.657,0.1432,0.1543,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_DC_RF_Gm_m0p2_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,2_shared_node_chaining,2.125,2.1124,0.595,0.1093,0.1205,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,MEASURE_ET_Load_Pull_Pout_W_mm_last,MEASURE_ET_lkg_70,2_shared_node_chaining,2.1584,2.1442,0.656,0.0755,0.0867,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
FIC_ET_Rc_f_hr_23,MEASURE_ET_DC_RF_K_W,MEASURE_ET_RF_Modeling_S22ang_10GHz,3_edge_plus_high_or_medium_conditional,2.1643,2.1509,0.62,0.0718,0.083,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_DC_RF_Vt_gd,TOPSIN_ET_lkg_Cap_USV,3_edge_plus_high_or_medium_conditional,2.1701,2.1579,0.564,0.0718,0.083,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
FIC_ET_Gm_max,MEASURE_ET_DC_SEC_X_Bin,MEASURE_ET_lkg_C385pf,3_edge_plus_high_or_medium_conditional,2.1139,2.0997,0.674,0.1152,0.1264,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_lkg_PAD_10,SIN_ET_DC_RF_Vbgd_0p1,TOPSIN_ET_lkg_C450pf,3_edge_plus_high_or_medium_conditional,2.1246,2.1105,0.664,0.1094,0.1206,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
MEASURE_ET_C_CAT_2,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,THIN_ET_Rcat_cn_1,3_edge_plus_high_or_medium_conditional,2.1681,2.1545,0.626,0.0755,0.0867,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
FIC_ET_lkg_SY8_80,MEASURE_ET_R414,TOPSIN_ET_lkg_C300pf,6_hub_triple_interaction_neighborhood,2.1265,2.1143,0.573,0.1043,0.1155,0.0112,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0112."
FIC_ET_Gm_max,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining,2.1528,2.1393,0.628,0.0879,0.099,0.0111,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0111."
ANODE_ET_Ran_con_1,MEASURE_ET_RF_Modeling_S22dB_10GHz,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining,2.0873,2.0737,0.649,0.1374,0.1486,0.0111,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0111."
