parameter_A,parameter_B,channels,n_channels
TOPSIN_ET_lkg_C450pf,THIN_ET_Rc_TF_AB_2,A_top_score1_nonadditivity,1
THIN_ET_Rc_cat_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,OHMIC_ET_Rc_an_ct2,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,SIN_GATE_ET_Rc_an_ct2,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,THIN_ET_Rc_cat_ct2,A_top_score1_nonadditivity,1
THIN_ET_TF_AB_2,MEASURE_ET_lkg_Cap_USV,A_top_score2_nonadditivity,1
THIN_ET_lkg_100_at20V,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,A_top_score2_nonadditivity,1
MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_RF_Vt_gd,A_top_score2_nonadditivity,1
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_C300FB_0,A_top_score2_nonadditivity,1
TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity,1
MEASURE_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_top_score2_nonadditivity,1
THIN_ET_TF_AB_2,MEASURE_ET_lkg_50,A_top_score2_nonadditivity,1
THIN_ET_lkg_100_at20V,MEASURE_ET_lkg_Cap_USV,A_top_score2_nonadditivity,1
THIN_ET_TF_AB_2,MEASURE_ET_lkg_C300,A_top_score2_nonadditivity,1
THIN_ET_TF_AB_2,THIN_ET_lkg_5,A_top_score2_nonadditivity,1
THIN_ET_C200_0,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity,1
MEASURE_ET_C100C300pf,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity,1
TOPSIN_ET_Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,A_top_score2_nonadditivity,1
TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,A_top_score2_nonadditivity,1
TOPSIN_ET_lkg_C450pf,THIN_ET_Rc_f_hr_23,A_top_score1_nonadditivity,1
SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_C450pf,A_top_score1_nonadditivity,1
SIN_GATE_ET_lkg_SY8_80,THIN_ET_Rc_cat_ct2,A_top_score1_nonadditivity,1
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,CATHODE_ET_Rcat_cn_3_OW_ST,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,FIC_ET_Rc_f_hr_23,A_top_score1_nonadditivity,1
MEASURE_ET_Rcat_cn_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,THIN_ET_Rcat_cn_3,A_top_score1_nonadditivity,1
OHMIC_ET_OHMC,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,THIN_ET_Rc_TF_AB_2,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,MEASURE_ET_Rc_OG142_GN,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,FIC_ET_Rc_f_tn_23,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,FIC_ET_Rc_f_hr_23,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,CATHODE_ET_Rcat_cn_3_OW_ST,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,MEASURE_ET_Rcat_cn_3,A_top_score1_nonadditivity,1
TOPSIN_ET_DC_PIV_Drain_Lag_1,THIN_ET_Rc_TF_AB_2,A_top_score1_nonadditivity,1
TOPSIN_ET_CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,MEASURE_ET_Rc_an_ct2,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,THIN_ET_Rc_OG142,A_top_score1_nonadditivity,1
MEASURE_ET_CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
MEASURE_ET_lkg_50_at20V,MEASURE_ET_R_f_hr_3,B_existing_shap_interaction,1
MEASURE_ET_RF_Modeling_Ft,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,A_top_score2_nonadditivity,1
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity,1
THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,A_top_score2_nonadditivity,1
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_CapFICM1,A_top_score2_nonadditivity,1
THIN_ET_TF_AB_2,MEASURE_ET_lkg_70_at20V,A_top_score2_nonadditivity,1
