parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_Cap3pf,THIN_ET_C200_0,THIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,2.1566,2.139,0.816,0.0852,0.102,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_DC_Big_Vg_optt2,MEASURE_ET_lkg_C300,TOPSIN_ET_DC_SMALL_Vp_1,2_shared_node_chaining,2.1485,2.1299,0.865,0.0928,0.1096,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,MEASURE_ET_lkg_10,2_shared_node_chaining,2.0806,2.06,0.99,0.1443,0.1611,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_DC_SEC_Vp_1mA,SIN_ET_lkg_SY07_10,THIN_ET_Ran_con_2,2_shared_node_chaining,2.0528,2.0321,1.005,0.17,0.1868,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_50_at20V,THIN_ET_lkg_C20,2_shared_node_chaining,2.1625,2.146,0.764,0.074,0.0908,0.0168,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0168 -- majority but not unanimous.
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_50_at20V,TOPSIN_ET_lkg_SY8_80,2_shared_node_chaining,2.2073,2.1906,0.756,0.0349,0.0517,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,MEASURE_ET_lkg_CapFICM1,THIN_ET_DC_RF_Vg_optt3,2_shared_node_chaining,2.1402,2.1207,0.912,0.0922,0.1089,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_Cap3pf,THIN_ET_DC_RF_Vbgs_0p1,THIN_ET_Rcat_cn_3,2_shared_node_chaining,1.9996,1.9763,1.164,0.2085,0.2253,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_Cap3pf_0,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_C300FM1,2_shared_node_chaining,2.0633,2.0448,0.894,0.158,0.1749,0.0168,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0168 -- majority but not unanimous.
MEASURE_ET_lkg_C300FM1,TOPSIN_ET_Cap_USV,TOPSIN_ET_lkg_CapPARCAP,2_shared_node_chaining,2.1428,2.1258,0.792,0.0904,0.1072,0.0168,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0168 -- majority but not unanimous.
FIN_FIN_Alignment_FIN_to_ohmic_alignment,THIN_ET_Ran_con_2,TOPSIN_ET_C100C500pf,2_shared_node_chaining,2.2156,2.1969,0.848,0.034,0.0508,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
