raw_csv_parameter_name,shap_importance,gain_importance,permutation_importance,shap_rank,gain_rank,permutation_rank,shap_percentile,gain_percentile,permutation_percentile,percentile_spread,method_agreement
TOPSIN_ET_OHMC_GN,6.997670564368102e-05,0.0504019085783511,5.507557910278127e-06,1054,1031,913,26.105263157894733,27.719298245614034,36.0,9.894736842105267,high_agreement
SIN_ET_DC_RF_Id_gm_max,6.922820322287441e-05,0.0248160392511636,3.892755440995655e-06,1055,1123,927,26.035087719298243,21.26315789473684,35.01754385964912,13.754385964912284,high_agreement
CATHODE_ET_Rcat_cn_3,6.845482102340638e-05,0.1866219937801361,3.11294220593783e-05,1056,787,731,25.964912280701757,44.8421052631579,48.7719298245614,22.80701754385964,moderate_agreement
TOPSIN_ET_DC_SMALL_Vt_gd,6.775130537756592e-05,0.0422086296603083,8.11479378582669e-06,1057,1060,883,25.89473684210526,25.684210526315788,38.10526315789474,12.421052631578952,high_agreement
MEASURE_ET_DC_RF_Id_gm_max,6.728929550781498e-05,0.0193847203627228,-6.711874257778194e-06,1058,1151,1231,25.824561403508774,19.298245614035093,13.684210526315788,12.140350877192986,high_agreement
MEASURE_ET_DC_SEC_Vds_max_ON,6.713776007877862e-05,0.0458964705467224,-2.3081210491734948e-05,1059,1045,1342,25.754385964912284,26.736842105263158,5.894736842105264,20.842105263157894,moderate_agreement
TOPSIN_ET_DC_RF_Vdg_max,6.690696729190345e-05,0.1350057341624051,4.3087346599976485e-05,1060,844,696,25.684210526315788,40.84210526315789,51.2280701754386,25.543859649122815,moderate_agreement
MEASURE_ET_DC_RF_Gm_m0p2_W,6.640007163877984e-05,0.0054325701203197,-2.914708285894907e-06,1061,1230,1186,25.6140350877193,13.754385964912286,16.84210526315789,11.859649122807015,high_agreement
MEASURE_ET_C100CapFICM1,6.594580935453624e-05,0.0456671994179487,-2.237694911540744e-05,1062,1046,1339,25.5438596491228,26.66666666666667,6.105263157894736,20.561403508771935,moderate_agreement
FIC_ET_DC_RF_Gm_m0p2,6.54930432978904e-05,0.0355075001716613,-5.737742114683697e-06,1063,1081,1215,25.473684210526315,24.210526315789473,14.807017543859647,10.666666666666668,high_agreement
SIN_ET_DC_RF_Vdg_max,6.50821407446036e-05,0.0446389098651707,9.418607213540486e-07,1064,1051,969,25.40350877192983,26.315789473684216,32.07017543859649,6.666666666666664,high_agreement
ANODE_ET_C_AN_2,6.491480190588667e-05,0.0639451080933213,2.6486575028242253e-05,1065,993,759,25.33333333333333,30.385964912280706,46.80701754385965,21.473684210526322,moderate_agreement
MEASURE_ET_DC_SEC_X_ChipStatus,6.472416498863435e-05,0.0600013993680477,-8.81621184092296e-06,1066,1004,1251,25.263157894736842,29.614035087719305,12.28070175438597,17.333333333333336,moderate_agreement
MEASURE_ET_DC_PIV_Ids0_QP2,6.469186621135497e-05,0.0355883792508393,-1.497882456363564e-05,1067,1080,1300,25.192982456140356,24.28070175438597,8.842105263157896,16.35087719298246,moderate_agreement
MEASURE_ET_RF_Modeling_Stress_time,6.453455672968244e-05,0.0197433804860338,1.6826742635472904e-05,1068,1149,814,25.122807017543856,19.438596491228065,42.94736842105264,23.508771929824572,moderate_agreement
MEASURE_ET_DC_SEC_X_Vboff_Id_plus_Ig,6.407324104807836e-05,0.032370701432228,9.649907968398152e-06,1069,1091,867,25.05263157894737,23.508771929824558,39.2280701754386,15.719298245614045,moderate_agreement
MEASURE_ET_DC_SEC_S_Ron,6.387528881840098e-05,0.0208980701863765,7.670427380718214e-06,1070,1140,888,24.982456140350873,20.070175438596493,37.75438596491229,17.684210526315795,moderate_agreement
TOPSIN_ET_Cap2pf,6.342354824730443e-05,0.0454883016645908,1.265766028707427e-06,1071,1047,961,24.912280701754387,26.596491228070175,32.631578947368425,7.719298245614038,high_agreement
BRGM_ET_C100,6.33101405992529e-05,0.0144926595967262,3.1275763746202445e-06,1072,1173,936,24.842105263157897,17.754385964912277,34.3859649122807,16.63157894736842,moderate_agreement
MEASURE_ET_VIA_KLV_2,6.298129668820441e-05,0.1337929964065551,5.836797554523709e-05,1073,847,655,24.7719298245614,40.63157894736842,54.10526315789475,29.333333333333346,moderate_agreement
MEASURE_ET_RF_Modeling_Vg_Stress,6.149817876370188e-05,0.0101098401937633,4.622047264615792e-06,1074,1199,921,24.701754385964914,15.929824561403505,35.43859649122807,19.50877192982456,moderate_agreement
MEASURE_ET_DC_Big_Ids_m0p2,6.146365067559614e-05,0.041280198842287,8.244363889781115e-06,1075,1061,879,24.631578947368425,25.6140350877193,38.3859649122807,13.754385964912274,high_agreement
MEASURE_ET_DC_SMALL_Vds_max_0p1,6.08280380283486e-05,0.0077656200155615,-6.549122650234551e-06,1076,1216,1226,24.561403508771928,14.73684210526316,14.035087719298245,10.526315789473683,high_agreement
FIC_ET_sh_f_hr_23,6.0637684407986274e-05,0.0536631892900913,-2.2930617098834705e-05,1077,1020,1340,24.491228070175442,28.491228070175435,6.035087719298248,22.456140350877185,moderate_agreement
ANODE_ET_C_AN_2_OW_CR,6.035519874190227e-05,0.0103310300037264,7.823238538570697e-06,1078,1198,886,24.421052631578945,16.000000000000004,37.89473684210526,21.894736842105257,moderate_agreement
MEASURE_ET_RF_Modeling_L_Gg,6.025631249515955e-05,0.0167277802247554,5.634816002356158e-06,1079,1165,910,24.350877192982455,18.31578947368421,36.21052631578947,17.894736842105264,moderate_agreement
MEASURE_ET_DC_Big_Vdg_max,5.993867203916363e-05,0.046218721428886,6.017431721414001e-06,1080,1044,905,24.28070175438597,26.807017543859647,36.56140350877193,12.280701754385962,high_agreement
THIN_ET_HIRS,5.932134997953049e-05,0.0607747989706695,2.87604007211395e-05,1081,1002,743,24.210526315789473,29.754385964912277,47.929824561403514,23.71929824561404,moderate_agreement
THIN_ET_Rc_an_ct2,5.930691727111586e-05,0.0410215402953326,-1.3590421557516109e-05,1082,1062,1289,24.140350877192983,25.5438596491228,9.614035087719298,15.929824561403503,moderate_agreement
MEASURE_ET_RF_Modeling_Mag_i,5.907702079495951e-05,0.0362639594823122,-1.3341209090103612e-05,1083,1078,1286,24.070175438596486,24.421052631578945,9.824561403508769,14.596491228070176,high_agreement
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_FPSD3p2,5.907664616916924e-05,0.0405319487908855,-8.467528785924272e-06,1084,1064,1247,24.0,25.40350877192983,12.561403508771928,12.842105263157901,high_agreement
MEASURE_ET_lkg_5,5.887254960051025e-05,0.0365795618854463,2.290844265769587e-05,1085,1076,783,23.929824561403514,24.561403508771928,45.12280701754386,21.19298245614035,moderate_agreement
MEASURE_ET_DC_SMALL_Id_gm_max,5.8666262140537146e-05,0.0274451696313917,3.08353453289667e-06,1086,1106,937,23.859649122807014,22.456140350877195,34.31578947368421,11.859649122807017,high_agreement
MEASURE_ET_DC_SEC_S_Vg_at_I2_pos,5.817522491100138e-05,0.0761534092016518,-1.5622081514016227e-05,1087,961,1307,23.789473684210527,32.631578947368425,8.350877192982454,24.280701754385973,moderate_agreement
