parameter_A,parameter_B,mlp_h_statistic,mlp_rms_nonadditivity,fold_reproducibility,high_yield_region,low_yield_region,confidence
OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0111,0.00146,2/5,"OHMIC_ET_Rsh_an_ct2~134.1, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","OHMIC_ET_Rsh_an_ct2~107.1, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",WEAK
SIN_ET_DC_RF_Vp_1,TFRP_ET_Rc_TF_AB_2,0.011,0.00273,2/5,"SIN_ET_DC_RF_Vp_1~-0.8096, TFRP_ET_Rc_TF_AB_2~0.1388","SIN_ET_DC_RF_Vp_1~-1.224, TFRP_ET_Rc_TF_AB_2~0.2615",WEAK
FIC_ET_Gate_res,Version_V2.0,0.0102,0.00627,2/5,"FIC_ET_Gate_res~0.004824, Version_V2_0~0","FIC_ET_Gate_res~6.597, Version_V2_0~1",WEAK
FIC_ET_Bad_Gates,MEASURE_ET_lkg_50_at20V,0.0101,0.00187,2/5,"FIC_ET_Bad_Gates~17.97, MEASURE_ET_lkg_50_at20V~0.02393","FIC_ET_Bad_Gates~12.62, MEASURE_ET_lkg_50_at20V~0.3181",WEAK
MEASURE_ET_lkg_50_at20V,THIN_ET_TF_AB_1,0.0097,0.00167,2/5,"MEASURE_ET_lkg_50_at20V~0.02393, THIN_ET_TF_AB_1~8.011","MEASURE_ET_lkg_50_at20V~0.3181, THIN_ET_TF_AB_1~0.8094",WEAK
FIC_ET_Bad_Gates,THIN_ET_C_AN_2_OW_CR,0.0093,0.00471,2/5,"FIC_ET_Bad_Gates~17.97, THIN_ET_C_AN_2_OW_CR~10.16","FIC_ET_Bad_Gates~12.62, THIN_ET_C_AN_2_OW_CR~17.09",WEAK
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.009,0.00169,2/5,"TOPSIN_ET_C100Cap1pf~0.9908, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","TOPSIN_ET_C100Cap1pf~0.596, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,SIN_ET_DC_RF_Vp_1,0.009,0.00222,2/5,"ANODE_ET_Rc_an_ct2_OW_CR~0.1574, SIN_ET_DC_RF_Vp_1~-0.8096","ANODE_ET_Rc_an_ct2_OW_CR~0.2672, SIN_ET_DC_RF_Vp_1~-1.224",WEAK
FIC_ET_Bad_Gates,Version_V2.0,0.0088,0.0051,2/5,"FIC_ET_Bad_Gates~17.97, Version_V2_0~0","FIC_ET_Bad_Gates~12.62, Version_V2_0~1",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,SIN_ET_DC_RF_Vp_1,0.0087,0.00194,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002~13.52, SIN_ET_DC_RF_Vp_1~-0.8096","MEASURE_ET_DC_RF_CF_S12_Mag_L1002~16.82, SIN_ET_DC_RF_Vp_1~-1.224",WEAK
MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0085,0.00137,2/5,"MEASURE_ET_LT_SEC_Vbgd1_Vd7~22.21, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","MEASURE_ET_LT_SEC_Vbgd1_Vd7~30.97, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",WEAK
