unit,unit_type,cluster_size,oof_importance,cumulative_fraction
TOPSIN_ET_DC_SMALL_Vbgs1,numeric_cluster,1,0.0023298988319258272,0.856244625451734
MEASURE_ET_DC_Diode_S21_dB_forw_9p5,numeric_cluster,1,0.0023053011445987297,0.8568329949195453
MEASURE_ET_DC_SEC_S_Ron_FPSD3p2,numeric_cluster,1,0.0022700710008230597,0.8574123727894509
MEASURE_ET_DC_RF_Vbin_gs,numeric_cluster,1,0.002262736673877427,0.8579898787589967
MEASURE_ET_DC_RF_Vbgd_0p01,numeric_cluster,1,0.0022457921276829466,0.8585630600642139
MEASURE_ET_DC_RF_S22dB_26GHz_W,numeric_cluster,1,0.002233948430451718,0.8591332185670293
FIC_ET_DC_RF_Vbgd1,numeric_cluster,1,0.0022299639112880387,0.8597023601226986
STAGE_STD_DC_PIV_Gate_Lag_0,engineered,1,0.0022241433934438067,0.8602700161392685
TOPSIN_ET_Vds_max,numeric_cluster,1,0.002220033956641097,0.8608366233266428
EBCR2_ET_Ids_EBCR_recess_current,numeric_cluster,1,0.0021981756253796458,0.8613976517310623
FIC_ET_DC_RF_Vdg_max,numeric_cluster,1,0.0021895870953453868,0.8619564881316919
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_SD3p5,numeric_cluster,1,0.002153494119183285,0.8625061127184005
MEASURE_ET_DC_RF2_S22ang_26GHz,numeric_cluster,1,0.0021338439312404258,0.8630507220945586
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_FPSD3p2,numeric_cluster,1,0.0021328949067937458,0.8635950892563709
TOPSIN_ET_DC_PIV_Ids0_QP3,numeric_cluster,1,0.002121858015231545,0.8641366395324024
TOPSIN_ET_I_5,numeric_cluster,1,0.0021195458105688807,0.8646775996770186
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg,numeric_cluster,1,0.002085123758758193,0.8652097744686443
MEASURE_ET_DC_RF_CF_S12_Mag_L1018,numeric_cluster,1,0.0020774939787350346,0.865740001953029
MEASURE_ET_C20_0,numeric_cluster,1,0.002071741787521314,0.8662687613369484
THIN_ET_TF_AB_2,numeric_cluster,1,0.0020663432819494837,0.8667961428896643
STAGE_DELTA_DC_PIV_Gate_Lag_0_FIC_minus_TOPSIN,engineered,1,0.0020544250944323278,0.867320482628228
SIN_ET_DC_RF_Vg_optt3,numeric_cluster,1,0.0020483245033982083,0.8678432653461359
MEASURE_ET_DC_SEC_X_Vboff_Id,numeric_cluster,1,0.0020477245404007375,0.8683658949387524
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_FPSD3p2,numeric_cluster,1,0.0020324637617812795,0.8688846296058769
MEASURE_ET_DC_RF_CF_S12_Ph_L1018,numeric_cluster,1,0.001979442625226532,0.8693898319768107
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,numeric_cluster,1,0.001976867124922167,0.8698943770168154
MEASURE_ET_Load_Pull_Pin_Last,numeric_cluster,1,0.001976513437835152,0.8703988317871892
OHMIC_ET_R114,numeric_cluster,1,0.0019763678931302127,0.87090324941098
MEASURE_ET_DC_RF_Max_S11_Mag_L1018,numeric_cluster,1,0.0019763647840110817,0.8714076662412471
TOPSIN_ET_R_f_tn_3,numeric_cluster,1,0.001967113574770865,0.8719097219357165
TOPSIN_ET_DC_PIV_Ids1_QP3,numeric_cluster,1,0.001966397207066497,0.8724115947955545
MEASURE_ET_VIA_KLV_2,numeric_cluster,1,0.0019515759200997864,0.8729096848989638
