unit,cluster_size,oof_importance,cumulative_fraction
CHRE_Ali_Litho_Channel_to_Ohmic_Alignment,1,0.0018811754854837198,0.8940792540931417
MEASURE_ET_DC_SEC_Vgs_1V,1,0.0018782805418165274,0.8945610308355852
MEASURE_ET_LT_SEC_Ig_Id_min_mA_mm_Vd7,1,0.0018778027598588924,0.8950426850275205
THIN_ET_R_f_tn_1,1,0.001876554746979904,0.895524019105625
MESA_ET_Probe_Number,1,0.0018678915684645595,0.8960031310886637
MEASURE_ET_DC_SEC_S_Vg_at_I2_neg_SD3p5,1,0.0018519733809034874,0.8964781600753777
TOPSIN_ET_sh_f_hr_23,1,0.0018435337509749728,0.8969510243069746
MEASURE_ET_DC_RF_S12ang_26GHz,1,0.0018387319830979886,0.8974226568907775
MEASURE_ET_RF_Modeling_Vth,1,0.001819444371498831,0.8978893422249663
TOPSIN_ET_DC_SMALL_Vdg_max,1,0.001773366994571116,0.8983442087663484
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos_SD3p5,1,0.0017712389204747384,0.898798529459236
MEASURE_ET_DC_RF_CF_S21_Ph_L2180,1,0.0017490553288775333,0.8992471600870576
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_SD3p5,1,0.0017247050183639167,0.8996895448889678
TOPSIN_ET_G2_per_6K,1,0.0017197525504403226,0.9001306593887
MEASURE_ET_DC_Big_Vg_optt1,1,0.0016820395547246971,0.9005621005495357
MEASURE_ET_RF_Modeling_Rd,1,0.001679940599794373,0.9009930033309086
MEASURE_ET_DC_SEC_S_Vboff_Id,1,0.0016780119751042117,0.9014234114223245
FIC_ET_G_per_15,1,0.0016658416124685587,0.9018506978300865
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,1,0.0016490200182111396,0.9022736695187723
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_SD3p5,1,0.0016450452601600753,0.9026956216867086
MEASURE_ET_R_4000_VER,1,0.0016446226408944776,0.9031174654533021
TOPSIN_ET_DC_PIV_Ids1_QP3,1,0.001640808457764859,0.9035383308864238
SIN_ET_DC_RF_n_gs,1,0.0016327588363304782,0.9039571316011469
MEASURE_ET_DC_SEC_S_Ids_max,1,0.0016265338340559893,0.9043743356101325
MEASURE_ET_i5021_1,1,0.0016232413442744717,0.9047906950993746
MEASURE_ET_RF_Modeling_S12dB_10GHz,1,0.0016213446527966954,0.905206568089491
MEASURE_ET_DC_RF_CF_S22_Ph_L1002,1,0.0016069030594838374,0.9056187368279649
THIN_ET_DC_RF_Vt_gd,1,0.0015988507767826427,0.9060288401654284
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_FPSD3p2,1,0.0015687238881230913,0.906431215991503
